0,1,2,3,4,5,6,7,files,Class
0.37504184,0.27464083,-0.036361128,-0.22324291,0.25733322,-0.2547754,0.0,-0.6249601,train_0002.wav,0
0.5824904,0.31578708,-0.024864752,-0.35588545,0.26671386,-0.2665643,0.0,-0.60358167,train_0008.wav,0
0.6790167,0.37873724,-0.023689792,-0.32763526,0.31482267,-0.2217456,0.0,-0.57002157,train_0010.wav,0
0.688227,0.26399675,-0.033880163,-0.34550303,0.33705905,-0.25266564,0.0,-0.48074982,train_0028.wav,0
0.43448082,0.3025716,-0.062249348,-0.20406646,0.30441555,-0.16669336,0.07531911,-0.63348866,train_0040.wav,0
0.60838914,0.31317356,-0.048147183,-0.18831344,0.38614726,-0.13449906,0.0,-0.4266699,train_0043.wav,0
0.7266576,0.34307942,-0.046503674,-0.26835385,0.2196706,-0.27442327,0.0,-0.61401486,train_0052.wav,0
0.7451905,0.28380108,-0.032926098,-0.23291075,0.3177494,-0.16061567,0.0,-0.44116005,train_0061.wav,0
0.63814026,0.35584718,-0.015320391,-0.26537427,0.19675857,-0.28336206,0.0,-0.6279252,train_0065.wav,0
0.6774433,0.3437972,-0.021032166,-0.2351001,0.26353928,-0.2726079,0.0,-0.50932896,train_0071.wav,0
0.6045032,0.3062581,-0.017547831,-0.17002687,0.28036857,-0.23362131,0.0,-0.45086452,train_0074.wav,0
0.47701252,0.30634215,-0.019347418,-0.33195627,0.20748203,-0.22630338,0.0,-0.58802724,train_0079.wav,0
0.38123634,0.29568022,-0.040522233,-0.13417214,0.21323712,-0.28910556,0.048147168,-0.50630957,train_0083.wav,0
0.60915065,0.41865942,-0.021401776,-0.25179318,0.24349153,-0.24726233,0.0,-0.76380134,train_0093.wav,0
0.78259087,0.35971373,-0.017845677,-0.30057344,0.22777101,-0.24941193,0.0,-0.5433078,train_0095.wav,0
0.4537622,0.36846748,-0.064019725,-0.25616753,0.23770061,-0.25749695,0.0,-0.6613103,train_0097.wav,0
0.7854827,0.3473211,-0.019450482,-0.2900415,0.22135644,-0.27042904,0.0,-0.6209803,train_0101.wav,0
0.24994183,0.25984657,-0.04204551,0.026839508,0.17968553,-0.16181447,0.0,-0.56888527,train_0104.wav,0
0.32436335,0.34177104,-0.052165046,-0.04041441,0.2069442,-0.22266527,0.0,-0.7217595,train_0105.wav,0
0.2966107,0.34551442,-0.07814357,-0.25095737,0.20839189,-0.21638466,0.0,-0.579247,train_0106.wav,0
0.70950514,0.33978197,-0.011114282,-0.18354292,0.21159093,-0.22607927,0.0,-0.6274183,train_0109.wav,0
0.5876338,0.39568385,-0.010519035,-0.3243032,0.2571374,-0.3101811,0.0,-0.55378586,train_0120.wav,0
0.6471507,0.33994502,-0.024045333,-0.2869175,0.2566053,-0.2806052,0.0,-0.520113,train_0128.wav,0
0.6758462,0.35955262,-0.01682931,-0.19618666,0.22434469,-0.28928596,0.0,-0.6199247,train_0133.wav,0
0.18166773,0.363097,-0.00813731,-0.123010926,0.2445915,-0.2881745,0.0,-0.64143604,train_0134.wav,0
0.29498023,0.2567644,-0.11843368,-0.16928367,0.31655252,-0.13116409,0.0,-0.5100168,train_0136.wav,0
0.6963849,0.38767773,-0.014965236,-0.2882274,0.20493546,-0.26554963,0.0,-0.54099196,train_0144.wav,0
0.36597672,0.31158903,-0.07522024,-0.3137662,0.25792265,-0.25050747,0.0,-0.53761166,train_0152.wav,0
0.67529935,0.2863216,-0.028340222,-0.12692975,0.31766242,-0.17402637,0.0,-0.4878267,train_0158.wav,0
0.45577157,0.3135103,-0.09533545,-0.2215864,0.23516864,-0.21391247,0.0,-0.5684907,train_0161.wav,0
0.5504957,0.34616423,-0.033926822,-0.41735974,0.23809779,-0.24719328,0.0,-0.6009554,train_0167.wav,0
0.5397585,0.37474266,-0.0006087455,-0.3715493,0.21972588,-0.20911211,0.0,-0.7278178,train_0170.wav,0
0.55364686,0.3371501,-0.018464152,-0.23000318,0.22196974,-0.25205624,0.0,-0.5750924,train_0172.wav,0
0.47594818,0.36697072,-0.08674601,-0.18646184,0.31941992,-0.22913614,0.0,-0.4795554,train_0175.wav,0
0.7929656,0.33018765,-0.020911295,-0.27092746,0.22869642,-0.29303354,0.0,-0.5878383,train_0177.wav,0
0.6842905,0.3762456,-0.023711802,-0.42663306,0.25349742,-0.2902842,0.0,-0.5496285,train_0192.wav,0
0.7149892,0.3809063,-0.018092342,-0.3235236,0.26738673,-0.2573315,0.0,-0.64164436,train_0197.wav,0
0.43628016,0.28641552,-0.029942604,-0.14010634,0.32610634,-0.16533135,0.0,-0.53243536,train_0200.wav,0
0.6821597,0.38386598,-0.020227527,-0.24593619,0.23636584,-0.22574784,0.0,-0.6010287,train_0201.wav,0
0.78570753,0.38291967,-0.010124481,-0.38512254,0.30092102,-0.22061226,0.0,-0.57274,train_0204.wav,0
0.30347702,0.29775482,-0.023676608,-0.418135,0.27285314,-0.15222856,0.0,-0.710925,train_0206.wav,0
0.6293394,0.2933176,-0.01549898,-0.031732544,0.21735938,-0.17836773,0.0,-0.6487579,train_0209.wav,0
