0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,files,Class
0.8186158,0.6192813,0.77674663,-0.39943853,0.6420322,-0.10945495,0.53816885,0.5911944,-0.13421464,-0.02991743,0.63058054,-0.4464508,0.6229786,-0.5947517,0.46648908,-0.8397783,train_0002.wav,0
0.6982083,0.54941726,0.7705437,-0.18615864,0.5373476,2.8588418e-05,0.6847956,0.5922645,0.014758281,0.040193558,0.65858513,-0.63851136,0.60617465,-0.65191805,0.42363164,-0.8105973,train_0008.wav,0
0.8064255,0.67725134,0.76532114,-0.65768147,0.5150328,-0.04008323,0.59566265,0.66536844,0.104655705,-0.20229818,0.7402685,-0.5461516,0.6260437,-0.78381276,0.5527074,-0.7990831,train_0010.wav,0
0.74832565,0.66012067,0.64229023,-0.31640148,0.49986652,0.04328939,0.4512089,0.7166668,0.0053373943,0.029350359,0.6264355,-0.48535392,0.7014463,-0.72810125,0.5217463,-0.8755317,train_0028.wav,0
0.54673016,0.44565138,0.44320387,-0.5362933,0.3944478,0.030371543,0.25833195,0.53362095,-0.013114205,-0.023526635,0.5368193,-0.16123848,0.47912303,-0.6729281,0.38893923,-0.6772169,train_0040.wav,0
0.69617325,0.2166566,0.47725043,-0.51082635,0.31046945,0.12482606,0.18782964,0.48861519,-0.1952871,-0.08148912,0.4801195,-0.042179696,0.38405895,-0.5895396,0.24177623,-0.68309444,train_0043.wav,0
0.7624855,0.6392584,0.7339345,0.14923535,0.6322812,-0.007844483,0.6710607,0.54034454,0.06704003,0.17883083,0.6883464,-0.58769035,0.70528233,-0.6920997,0.5721972,-0.7649982,train_0052.wav,0
0.9199167,0.54822326,0.8200487,0.10961352,0.5252717,0.062627256,0.6405407,0.57492685,-0.011549289,0.20050097,0.67318887,-0.63698626,0.6268169,-0.69097453,0.5230377,-0.9069809,train_0061.wav,0
0.9511728,0.71227837,0.9369761,0.7698728,0.7071315,-0.2574446,0.721198,0.6666355,0.24429885,0.2978564,0.7414135,-0.7153225,0.7812498,-0.78875387,0.7259902,-0.954152,train_0065.wav,0
0.89572424,0.56203717,0.80566996,-0.636709,0.7018565,0.18241973,0.5506274,0.6207042,0.06008462,-0.25484568,0.56249577,-0.4499228,0.60448414,-0.6442694,0.53421295,-0.8904891,train_0071.wav,0
0.783769,0.43126646,0.63150805,-0.59315646,0.4278091,0.057020653,0.41822895,0.5455585,-0.112036526,-0.10846042,0.64762497,-0.26836485,0.5030437,-0.64088166,0.29140297,-0.7930908,train_0074.wav,0
0.77453655,0.45352277,0.4470066,-0.6475604,0.43748778,0.11342424,0.21626242,0.5534554,-0.02847456,-0.013578003,0.5875816,-0.31768888,0.26982367,-0.7228374,0.33071664,-0.7185581,train_0079.wav,0
0.48260197,0.44678,0.5117714,-0.31871486,0.19964583,0.10026415,0.28810808,0.49655512,-0.07003481,0.106070146,0.602461,-0.1836115,0.37598386,-0.63396496,0.21742617,-0.64711845,train_0083.wav,0
0.9021281,0.52723837,0.84698176,-0.29326484,0.62145084,0.14565417,0.60249275,0.6186682,0.2644521,-0.17407861,0.66806495,-0.66999495,0.7472822,-0.7541113,0.55781597,-0.85905576,train_0093.wav,0
0.9481411,0.65929854,0.9143104,0.6842023,0.6078781,-0.17388499,0.6884505,0.63160825,0.22043549,0.36324674,0.7879157,-0.7284239,0.6788477,-0.72975194,0.6180838,-0.93977,train_0095.wav,0
0.632007,0.5193745,0.69611365,-0.52798194,0.46971643,0.23439097,0.5184926,0.54574835,-0.06440566,-0.06946798,0.6018664,-0.5308391,0.61293113,-0.6284044,0.4974088,-0.7285388,train_0097.wav,0
1.0,0.8858601,0.99999475,0.9844113,0.049570743,-0.8177633,0.89943767,0.8161752,0.73961526,0.7616828,0.8830142,-0.85109854,0.91104746,-0.90836585,0.93634313,-1.0,train_0101.wav,0
0.8426697,0.43631527,0.61939675,-0.4020548,0.42376894,0.14818378,0.36677524,0.54837704,-0.071059406,-0.14414515,0.6642359,-0.43214715,0.5566159,-0.6728453,0.31656998,-0.8554607,train_0104.wav,0
0.80534196,0.5372535,0.7440982,0.39466748,0.5525636,-0.008092213,0.7189192,0.57731164,-0.093630634,0.059700213,0.603002,-0.5713773,0.6617342,-0.6169481,0.5803779,-0.90727186,train_0105.wav,0
0.74115956,0.57405245,0.73385316,-0.22247703,0.51136154,0.10031295,0.5189642,0.50044394,-0.15630148,-0.10117141,0.6001034,-0.5596899,0.7276766,-0.60285974,0.45834348,-0.8031764,train_0106.wav,0
0.94524276,0.5894612,0.8655732,0.39132762,0.58534527,0.017077418,0.6765524,0.56776243,0.07278523,0.33879507,0.69459385,-0.67265105,0.6850426,-0.72846186,0.50047106,-0.92688763,train_0109.wav,0
